A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,far_from,near_to
0.0,0.47058823529411764,0.5714285714285714,0.18181818181818182,0.36363636363636365,0.47058823529411764,0.6363636363636364,0.3333333333333333,0.5,0.47058823529411764,1.0,0.5,0.5333333333333333,0.5,0.7272727272727273,0.6153846153846154,0.5384615384615384,0.36363636363636365,0.3333333333333333,0.5333333333333333,0.0,0.0
0.0,0.47058823529411764,0.4666666666666667,0.18181818181818182,0.36363636363636365,0.47058823529411764,0.38461538461538464,0.3333333333333333,0.6153846153846154,0.47058823529411764,0.5,1.0,0.4375,0.5,0.46153846153846156,0.5,0.6666666666666666,0.25,0.6,0.4375,0.0,0.0
0.0,0.7647058823529411,0.5882352941176471,0.2857142857142857,0.25,0.6666666666666666,0.35294117647058826,0.4,0.5294117647058824,0.6666666666666666,0.5333333333333333,0.4375,1.0,0.7058823529411765,0.6,0.625,0.47058823529411764,0.3333333333333333,0.5,0.75,0.0,0.0
0.0,0.7222222222222222,0.47368421052631576,0.1875,0.3125,0.631578947368421,0.4117647058823529,0.29411764705882354,0.6875,0.631578947368421,0.5,0.5,0.7058823529411765,1.0,0.47058823529411764,0.6875,0.5294117647058824,0.23529411764705882,0.375,0.6111111111111112,0.0,0.0
0.0,0.5294117647058824,0.6428571428571429,0.16666666666666666,0.3333333333333333,0.5294117647058824,0.46153846153846156,0.4166666666666667,0.4666666666666667,0.5294117647058824,0.7272727272727273,0.46153846153846156,0.6,0.47058823529411764,1.0,0.5714285714285714,0.5,0.45454545454545453,0.3076923076923077,0.6,0.0,0.0
0.0,0.5555555555555556,0.47058823529411764,0.23076923076923078,0.38461538461538464,0.47368421052631576,0.5,0.26666666666666666,0.5,0.47368421052631576,0.6153846153846154,0.5,0.625,0.6875,0.5714285714285714,1.0,0.5333333333333333,0.2857142857142857,0.35714285714285715,0.5294117647058824,0.0,0.0
0.0,0.5882352941176471,0.4117647058823529,0.15384615384615385,0.3076923076923077,0.5882352941176471,0.5384615384615384,0.2857142857142857,0.5333333333333333,0.5882352941176471,0.5384615384615384,0.6666666666666666,0.47058823529411764,0.5294117647058824,0.5,0.5333333333333333,1.0,0.4166666666666667,0.5,0.47058823529411764,0.0,0.0
0.0,0.375,0.35714285714285715,0.0,0.0,0.29411764705882354,0.5,0.4444444444444444,0.2,0.29411764705882354,0.36363636363636365,0.25,0.3333333333333333,0.23529411764705882,0.45454545454545453,0.2857142857142857,0.4166666666666667,1.0,0.18181818181818182,0.25,0.0,0.0
0.0,0.35294117647058826,0.3333333333333333,0.2222222222222222,0.3,0.35294117647058826,0.23076923076923078,0.4,0.46153846153846156,0.35294117647058826,0.3333333333333333,0.6,0.5,0.375,0.3076923076923077,0.35714285714285715,0.5,0.18181818181818182,1.0,0.5,0.0,0.0
0.0,0.6666666666666666,0.6875,0.2,0.3333333333333333,0.7647058823529411,0.4375,0.5,0.4444444444444444,0.7647058823529411,0.5333333333333333,0.4375,0.75,0.6111111111111112,0.6,0.5294117647058824,0.47058823529411764,0.25,0.5,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
